surname,caste,confidence
CHERUKURI,Kamma,high
CHERUKURU,Kamma,medium
CHERUKUVADA,Kamma,high
CHERUVU,Kapu,medium
CHETINA,Kamma,medium
CHETURI,Kamma,medium
CHEVALA,Kapu,medium
CHEVANNI,Kamma,medium
CHEVENDRA,Kapu,medium
CHEVURI,Kamma,medium
CHIDELLA,Kamma,medium
CHIDIGIDI,Kamma,medium
CHIDIPOTHU,SC,medium
CHIDIREDDY,Reddy,high
CHIGARAPALLI,Kamma,low
CHIGULURI,Kamma,medium
CHIGURUPATI,Kamma,high
CHIKATI,Kamma,medium
CHIKKALA,Kapu,medium
CHIKKALAVALASA,Kamma,medium
CHIKKAM,Kamma,low
CHIKKAVARAPU,Kamma,medium
CHIKKINA,Kamma,medium
CHIKULURI,Kamma,medium
CHILAADHI,Kamma,medium
CHILAKA,SC,medium
CHILAKAA,Kamma,medium
CHILAKALA,Kamma,medium
CHILAKALAPUDI,Kamma,medium
CHILAKAPATI,Kamma,medium
CHILAKURU,Kamma,medium
CHILAMAKURI,Kamma,medium
CHILAMAKURTHI,Kamma,medium
CHILAMANENI,Kamma,medium
CHILAMKURTHI,Kamma,medium
CHILAMKURTHY,Kamma,medium
CHILLA,SC,medium
CHILLAPALLI,Kamma,medium
CHILLARA,Kamma,medium
CHILLIMUNTHA,Kamma,medium
CHILUKOORI,Kamma,medium
CHILUKURI,Kamma,high
CHILUKURU,Kamma,medium
CHILUVURI,Kshatriya,medium
CHILUVURU,Kamma,medium
CHIMAKURTHI,Kamma,medium
CHIMAKURTI,Kamma,medium
CHIMATA,Kapu,medium
CHIMCHILI,Kamma,medium
CHIMIRALA,Kamma,medium
CHIMMALI,Kamma,medium
CHIMMINENI,Kamma,low
CHIMMINI,Kamma,medium
CHIMMIRI,Kamma,medium
CHIMTLAA,Kamma,medium
CHINAMANAGONDA,Kamma,medium
CHINAMCHETTY,Vysya,high
CHINBILI,Kamma,medium
CHINKA,Kapu,medium
CHINNABATHUNI,Kapu,medium
CHINNALLA,Kapu,medium
CHINNAM,Kamma,medium
CHINNAMSETTY,Vysya,high
CHINNUPALLI,Kamma,low
CHINTA,Kapu,medium
CHINTAGUNTA,Kamma,medium
CHINTAKAYALA,Kamma,medium
CHINTAKRINDHI,Kapu,medium
CHINTAKRINDI,Kapu,medium
CHINTALA,Kapu,medium
CHINTALABOINA,Kapu,medium
CHINTALAPATI,Kamma,high
CHINTALAPUDI,Kamma,medium
CHINTAMANEEDI,Kamma,medium
CHINTAMANENI,Kamma,high
CHINTAMNEEDI,Kamma,medium
CHINTAPALLI,Kamma,medium
CHINTARALA,Kapu,medium
CHINTHA,Kapu,medium
CHINTHAA,Kamma,medium
CHINTHAGUNPALLE,Kamma,medium
CHINTHAKAYALA,Kamma,medium
CHINTHAKRINDI,Kapu,medium
CHINTHALA,Kapu,medium
CHINTHALAPALLI,Kamma,low
CHINTHALAPUDI,Kamma,medium
CHINTHAMANENI,Kamma,medium
CHINTHANIPPU,Kamma,medium
CHINTHAPALLI,Kamma,medium
CHINTHAREDDY,Reddy,high
CHINTHATHOTI,Kamma,medium
CHINTHOTI,Kamma,medium
CHINTOTI,Kamma,medium
CHIPPALA,Kamma,medium
CHIRALA,Kamma,medium
CHIRAMAAVARU,Kamma,medium
CHIRATANAGALLA,Kapu,medium
CHIRATHANAGALLA,Kamma,medium
CHIRI,Kamma,medium
CHIRIGINA,Kamma,medium
CHIRIKONDA,Kamma,medium
CHIRIMALLA,Kamma,medium
CHIRRAVURI,Kamma,high
CHIRUGUDU,Kamma,medium
CHIRUKOORI,Kamma,medium
CHIRUKURI,Kamma,medium
CHIRUMAMILLA,Kamma,medium
CHIRUPAARUTI,Kamma,medium
CHITANAGALLA,Kamma,medium
CHITELA,Kamma,medium
CHITELU,Kamma,medium
CHITENNI,Kamma,medium
CHITHIRALA,Kamma,medium
CHITIKINENI,Kamma,low
CHITIPOTHU,Kamma,medium
CHITIPOTU,Kamma,medium
CHITIRALA,Kamma,medium
CHITLURI,Kamma,medium
CHITNENI,Kamma,low
CHITTA,Kamma,medium
CHITTABATHINA,Kamma,medium
CHITTABATTINI,Kamma,medium
CHITTAJALLU,Kamma,medium
CHITTALATHANA,Kamma,medium
CHITTAMURI,Kamma,medium
CHITTANURI,Kamma,medium
CHITTARI,Kamma,medium
CHITTELA,Kamma,medium
CHITTEM,Kamma,medium
CHITTEPU,Kamma,medium
CHITTHA,Kamma,medium
CHITTIBOINA,Kapu,medium
CHITTIBOMMALA,Kamma,medium
CHITTIBOYINA,Kapu,medium
CHITTINENI,Kamma,medium
CHITTIPOTHULA,Kamma,medium
CHITTIPOTULA,Kamma,medium
CHITTIPROLU,Kamma,medium
CHITTIVIDU,Kamma,medium
CHITTURI,Kamma,medium
CHODA,Kamma,medium
CHODAGUDI,Kamma,medium
CHODAPANEEDI,Kamma,high
CHODE,Kamma,medium
CHODEY,Kamma,high
CHODISETTI,Vysya,high
CHOLLANGI,Kapu,medium
CHOPARLA,Kamma,medium
CHOPPA,Kamma,high
CHOPPANA,Kamma,medium
CHOWDHARY,Kapu,medium
CHUCHIKONDA,Kapu,medium
CHUKKA,Kapu,medium
CHUKKAPALLI,Kamma,medium
CHUKKAPLLI,Kamma,medium
CHUNCHU,ST,medium
CHUNDI,Kamma,medium
CHUNDOORU,Kamma,medium
CHUNDRU,Kamma,medium
CHUNDU,Kapu,medium
CHUNDURI,Kamma,high
CHUNDURU,Kamma,high
DAADI,Kapu,medium
DAARLA,SC,medium
DABBAKUTI,SC,medium
DACHARLA,Kamma,medium
DACHEPALLI,Kamma,low
DADDA,Kamma,medium
DADDALA,Kapu,medium
DADDHALA,Kamma,medium
DADI,Kapu,medium
DADIGI,Kamma,medium
DAGGUBATI,Kamma,high
DAGGULA,Kamma,medium
DAGGUMAATI,Kamma,medium
DAGGUMALLI,Kamma,medium
DAGGUMATI,Kamma,high
DAGGUPATA,Other,medium
DAGGUPATI,Kamma,medium
DAGOTTI,Kamma,medium
DAKINEDI,Kamma,medium
DALAVAI,Kapu,medium
DAMA,Kamma,medium
DAMACHARLA,Kamma,medium
DAMACHERLA,Kamma,medium
DAMARACHERLA,Kamma,medium
DAMARLA,Kamma,medium
DAMERACHARLA,Kamma,medium
DAMERLA,Kamma,medium
DAMINENI,Kamma,high
DAMISETTI,Vysya,high
DAMMALAPATI,Kamma,medium
DAMMU,Kapu,medium
DAMU,Kamma,medium
DAMULURI,Kamma,medium
DANABOINA,Kapu,medium
DANABOYANA,Kapu,medium
DANABOYINA,Kapu,medium
DANASARI,Kamma,medium
DANDA,Kapu,medium
DANDAMODI,Kamma,medium
DANDAMUDI,Kamma,high
DANDAMUDY,Kamma,high
DANDAVOLU,Reddy,high
DANDE,Kapu,medium
DANDELA,Kamma,medium
DANDLAMUDI,Kamma,high
DANDU,Kapu,medium
DANEKULA,Vysya,high
DANETI,Kamma,medium
DANGETI,Kamma,medium
DANTHULURI,Kshatriya,medium
DANTHULURU,Kamma,medium
DANTU,Kapu,medium
DANTULURI,Kamma,medium
DANTULURU,Kamma,medium
DAPARTI,Kamma,medium
DARA,Kapu,medium
DARAGAMPUDI,Kamma,medium
DARAM,Kapu,medium
DARAPANENI,Kamma,medium
DARAPU,Kamma,medium
DARAPUNENI,Kamma,low
DARAVATH,ST,high
DARIPINENI,Kamma,medium
DARISI,Kamma,medium
DARISIPUDI,Kamma,low
DARLA,Kapu,medium
DARSANALA,Kamma,medium
DARSI,Kamma,medium
DARURU,Kamma,medium
DARUVURI,Kamma,medium
DASAKA,Other,medium
DASAM,Kapu,medium
DASARA,Kamma,medium
DASARI,SC,medium
DASARLA,Kamma,medium
DASTI,Kamma,medium
DASU,SC,medium
DATLA,Kamma,medium
DATTA,Kamma,medium
DAVINENI,Kamma,low
DAVULURI,Kamma,high
DAVULURU,Kamma,high
DAVVULURI,Kamma,medium
DAVVULURU,Kamma,medium
DAYANENI,Kamma,low
DEEKOLLU,Kapu,medium
DEEPALA,SC,medium
DEEVENAPALLI,Kamma,medium
DEEVI,Kapu,medium
DEEVINENI,Kamma,low
DEGALA,Kamma,medium
DENDUKURI,Kamma,medium
DEORA,Other,medium
DESABATHULA,Kamma,medium
DESABOINA,Kapu,medium
DESABOYINA,Kapu,medium
DESAI,Other,medium
DESETTY,Vysya,high
DESHTA,Kamma,medium
DESIREDDI,Kamma,medium
DESNA,Kamma,medium
DESU,Kapu,medium
DETLA,Kamma,medium
DEVAABAKHTULA,Kamma,medium
DEVAABAKUTHUNI,Kamma,medium
DEVABAKTUNI,Kamma,medium
DEVABATHINI,Kamma,medium
DEVABATTHINI,Kamma,medium
DEVABATTULA,Brahmin,medium
DEVABHAKTHUNI,Brahmin,medium
DEVABHAKTUNI,Brahmin,high
DEVADULA,Kamma,medium
DEVAGIRI,Kamma,medium
DEVAGUPATAPU,Kamma,medium
DEVAGUPTHAPU,Kamma,medium
DEVAKI,Kamma,low
DEVALARAJU,Kshatriya,medium
DEVALLA,Kamma,medium
DEVANABOINA,SC,medium
DEVANABOYINA,Kamma,medium
DEVANDLA,Kamma,medium
DEVANEEDI,Kamma,medium
DEVARA,Kamma,medium
DEVARAKONDA,Velama,medium
DEVARAPALLI,Kamma,medium
DEVARAPI,Kamma,medium
DEVARAPU,Kapu,medium
DEVARASETTY,Vysya,high
DEVARINTI,Kamma,medium
DEVAVARAPU,Kamma,high
DEVELLA,Kamma,medium
DEVINA,Kamma,medium
DEVINENI,Kamma,high
DEVINIDI,Kamma,medium
DEVIREDDY,Reddy,high
DEVISETTY,Vysya,high
DHABBARA,Kamma,medium
DHADA,Kamma,medium
DHADINENI,Kamma,medium
DHAMACHARLA,Kamma,medium
DHAMMAALAPATI,Kamma,medium
DHAMMALAPATI,Kamma,medium
DHAMULURI,Kamma,medium
DHANABOINA,Kamma,medium
DHANALA,Kamma,medium
DHANARAJU,Kapu,medium
DHANASARI,SC,medium
DHANASIRI,SC,medium
DHANDAMUDI,Kamma,low
DHANEKULA,Vysya,high
DHANENKULA,Kamma,medium
DHANIKULA,SC,medium
DHANISIRI,SC,medium
DHANIYALA,Kamma,medium
DHANNEMKULA,Kamma,medium
DHARANIKOTA,Kamma,high
DHARAVATH,ST,medium
DHARISI,Kamma,medium
DHARIVVURI,Kamma,medium
DHARMANA,Kamma,medium
DHARMAPALA,Kamma,medium
DHARMAPURAMU,Kamma,medium
DHARMAVARAMU,Kamma,medium
DHARUSAULURU,Kamma,medium
DHARUVVURU,Kamma,medium
DHAYACHERLA,Kamma,medium
DHIMMALAPUDI,Kamma,medium
DHINIKULA,Kamma,medium
DHIVYAKULA,Kamma,medium
DHONTHI,Reddy,high
DHOOLIPALLA,Kamma,medium
DHOPPALA,Christian,medium
DHULIPAALA,Kamma,medium
DHULIPAALLA,Kamma,medium
DHULIPALA,Kamma,high
DHULIPALLA,Kamma,high
DHULIPALLI,Kamma,low
DHULIPUDI,Kamma,low
DHULLIPALLA,Kamma,high
DHURIPHALA,Kamma,medium
DIDLA,Kapu,medium
DIDUGU,Kamma,medium
DIGUMARTHI,Kamma,medium
DIGUMARTI,Kamma,medium
DINTAKURTHI,Kamma,medium
DIRISALA,Kamma,medium
DIRISHALA,Kamma,medium
DIRUMARTI,Kamma,medium
DIVI,Kamma,medium
DIVVELA,Kamma,medium
DIYYALA,Kamma,medium
DOBBALA,Kapu,medium
DOBHARLA,Kamma,medium
DODAPANENI,Kamma,low
DODDA,Kapu,medium
DODDAA,Kamma,medium
DODDAGATTA,Kamma,medium
DODDAKA,Kapu,medium
DODDALA,Kapu,medium
DODDANALA,Kamma,medium
DODDAPANA,Kamma,medium
DODDAPANENI,Kamma,medium
DODDAPINNI,Kamma,medium
DODDAVARU,Kamma,medium
DODDEMPUDI,Kamma,low
DODDI,Kapu,medium
DODDIGARLA,Kamma,medium
DODDIPATI,Kamma,medium
DODDUKURU,Kamma,medium
DODHALA,Kamma,medium
DODLA,Kapu,medium
DOGUPARTHI,Kamma,medium
DOKALA,Kapu,medium
DOKKA,Kamma,medium
DOMA,Kamma,medium
DOMALA,SC,medium
DOMALAPATI,Kamma,medium
DOMMETI,Kamma,medium
DOMMULAPATI,Kamma,medium
DOMMUPATI,Kamma,medium
DONADI,Kapu,medium
DONAVALLI,Kamma,medium
DONDAGATTA,Kamma,medium
DONDAPATI,Kamma,high
DONDAPENNI,Kamma,medium
DONDATI,Kapu,medium
DONDETI,Kamma,medium
DONE,Kapu,medium
DONELLI,Kamma,medium
DONEPUDI,Kamma,medium
DONIPINENI,Kamma,medium
DONTHAGANI,Kamma,medium
DONTHALA,Kamma,medium
DONTHI,Reddy,high
DONTHINNI,Kamma,medium
DONTHIREDDI,Reddy,high
DONTHIREDDY,Reddy,high
DONTHREDDY,Reddy,high
DONTI,Reddy,medium
DONTINENI,Kamma,low
DONTIREDDY,Reddy,high
DOPPALA,Kamma,medium
DOPPALAPATI,Kamma,high
DOPPALAPUDI,Kamma,high
DORADLA,Other,medium
DOREDLA,Kamma,medium
DOSINI,Kamma,medium
DOUPATI,Kamma,medium
DOVAMTI,Kamma,medium
DRADAMARACHARLA,Kamma,medium
DRASHAVARAPU,Kamma,medium
DROCHERLA,Kamma,medium
DRONAADI,Kamma,medium
DRONADULA,Kamma,medium
DRONAVALLI,Kamma,medium
DUDDEMPUDI,Kamma,medium
DUDDI,Kamma,medium
DUDDUKURI,Kamma,medium
DUDDUMPUDI,Kamma,low
DUDDUPUDI,Kamma,medium
DUDEKULA,Muslim,high
DUDIKI,Kamma,medium
DUDIPAALA,Kamma,medium
DUDIPALLA,Kamma,medium
DUGAPUDI,Kamma,medium
DUGGEMPUDI,Kamma,medium
DUGGENA,Kamma,medium
DUGGINA,Kamma,medium
DUGGINEDI,Kamma,medium
DUGGINENI,Kamma,medium
DUGGINNI,Kamma,medium
DUGGIRALA,Kamma,medium
DUGUPUDI,Kamma,medium
DUKKIPATI,Kamma,medium
DULIPUDI,Kamma,low
DULLA,Kamma,medium
DUMMULA,Kamma,medium
DUMPALA,Kamma,medium
DUNABOYINA,Kapu,medium
DUNAKA,Kapu,medium
DUNGA,Kapu,medium
DUNNA,Kapu,medium
DUPAGUNTLA,Kamma,medium
DUPATI,Kamma,medium
DUPPATI,Kamma,medium
DURACHANAALA,Kamma,medium
DURAM,Kamma,medium
DURGAM,Kamma,medium
DURISHALA,Kamma,medium
DUSANAPUDI,Kamma,medium
DUSARI,Kapu,medium
DUTHALURU,Kamma,medium
DUTHULURI,Kamma,medium
DUVVADA,Kamma,medium
DUVVINENI,Kamma,medium
DUVVINNA,Kamma,medium
DUVVINNI,Kamma,medium
DWARAMPUDI,Kamma,low
EARIGINABOYINA,Kamma,medium
EDALA,Kamma,medium
EDARA,Kamma,medium
EDARI,Kamma,medium
EDHARA,Kapu,medium
EDLURI,Brahmin,medium
EDPUGANTI,Kamma,medium
EDULA,Kamma,medium
EDUPUGANTI,Kamma,medium
EDUPULAPATI,Kamma,medium
EEDARA,Kamma,medium
EEDULAMUDI,Kamma,low
EEDULLAMUDI,Kamma,low
EELAPROLU,Kamma,medium
EEMANI,Kamma,medium
EEPURI,Kamma,medium
EERTHANENI,Kamma,low
EGALAPATI,Kamma,high
EJENDLA,Kamma,medium
ELAPOLU,Kamma,medium
ELAPROLU,Kamma,medium
ELINENI,Kamma,low
ELLANTI,Kamma,medium
ELLURU,Kamma,medium
ELURI,Kamma,high
EMMADI,Kamma,medium
EMMANI,Kamma,medium
EMMELA,Kamma,medium
EMMILA,Christian,medium
EMULA,Kamma,medium
ENAMURTHY,Brahmin,medium
ENDREDDY,Reddy,high
ENDURTI,Kamma,medium
ENIKEPALLI,Kamma,low
ENTURI,Kapu,medium
ENUGULA,Kamma,medium
ENUMULA,Kapu,medium
EPURI,Kamma,medium
ERAGANABOINA,Kapu,high
ERALLA,Kamma,medium
ERAPANI,Kshatriya,medium
ERDUKULAPATI,Kamma,medium
ERELLI,Kamma,medium
ERPINA,Kamma,medium
ERRAMALA,Kamma,medium
ERUKULAPATI,Kamma,medium
ERUKULLA,Kapu,medium
ERUVURI,Other,medium
ESLAVATH,ST,medium
ESLAVATHU,ST,high
ETHAKOTA,Kapu,medium
ETURI,Kapu,medium
EVURI,Kamma,medium
EVURU,Kamma,medium
GAALI,Kapu,medium
GADADASU,SC,medium
GADAGANDI,Kamma,medium
GADAGATTU,Kapu,medium
GADAGOTTU,Kamma,medium
GADAKANTI,Kamma,medium
GADAMSETTI,Vysya,high
GADAMSETTY,Vysya,high
GADDA,Kamma,medium
GADDALE,Kamma,medium
GADDAM,SC,medium
GADDAMU,Kamma,medium
GADDE,Kamma,high
GADDIPATI,Kamma,high
GADE,Kamma,high
GADELA,Kamma,medium
GADELAKSHMAREDDY,Reddy,high
GADESULA,Kamma,medium
GADHAMANENI,Kamma,medium
GADHUPUDU,Kamma,medium
GADI,Kapu,low
GADIGATLA,Kamma,medium
GADIGOTTU,Kamma,medium
GADINA,Kamma,medium
GADIPARTHI,Kamma,medium
GADIPARTI,Kamma,medium
GADIPUDI,Kamma,medium
GADIPUUDI,Kamma,medium
GADIRAJU,Kamma,medium
GADIREDDY,Reddy,high
GADUPUDI,Kamma,low
GAGGARA,Kamma,medium
GAIRABOINA,Kapu,medium
GAIRUBOINA,Kapu,medium
GAIRUBOYINA,Kapu,medium
GAJAVALLI,Kamma,medium
GAJAVELLI,Kamma,medium
GAJJARAPU,Kamma,high
GAJULA,Vysya,medium
GAJVALLI,Kamma,medium
GALI,Kapu,medium
GALLA,Kamma,medium
GAMANI,Kapu,medium
GAMI,Kapu,low
GAMIDI,Kapu,medium
GAMINENI,Kamma,medium
GAMINI,Kamma,medium
GAMPA,Kapu,medium
GAMPALA,Kapu,medium
GANAMANENI,Kamma,medium
GANAMTHU,Kamma,medium
GANAPANENI,Kamma,medium
GANAPARTHI,Brahmin,high
GANAPARTI,Kamma,medium
GANAPATHI,Kamma,medium
GANAPATHINEEDI,Brahmin,medium
GANAPAVARAPU,Kamma,medium
GANAVARTI,Kamma,medium
GANDAMALA,Kamma,medium
GANDAMANENI,Kamma,low
GANDHALLA,Kamma,medium
GANDHAM,Brahmin,medium
GANDHAMANENI,Kamma,low
GANDHAMVARU,Kamma,medium
GANDIKOTA,Kamma,medium
GANDIPARTI,Kamma,medium
GANDLA,Kamma,medium
GANDRALA,Kamma,medium
GANDU,Kamma,medium
GANDURI,Kapu,medium
GANELA,Kamma,medium
GANESHAM,Kamma,medium
GANESHULA,Kamma,medium
GANESHUNI,Kamma,medium
GANESUNI,Kamma,medium
GANGALA,Kamma,medium
GANGARAPU,Kamma,medium
GANGASANI,Reddy,high
GANGAVALLI,Kapu,medium
GANGAVARAPU,Kamma,medium
GANGINA,Kapu,medium
GANGINENI,Kamma,medium
GANGIREDDY,Reddy,high
GANGISETTI,Kamma,medium
GANGISETTY,Vysya,high
GANGLA,Kamma,medium
GANGORI,Kamma,medium
GANGULA,Kapu,medium
GANGURI,Kapu,medium
GANGURU,Kamma,medium
GANIPINENI,Kamma,low
GANIPISETTI,Vysya,high
GANIPUDI,Kamma,medium
GANISETTI,Vysya,high
GANIVADA,Kamma,medium
GANJALA,Kamma,medium
GANJI,Kapu,medium
GANJIKUNTA,Kapu,medium
GANJIMALA,Kamma,medium
GANJUKUNTA,Kamma,medium
GANNAMANENI,Kamma,medium
GANNAMANI,Kamma,medium
GANNAMANIDU,Kamma,medium
GANNAVARAPU,Kamma,medium
GANNE,Kamma,medium
GANNI,Kamma,medium
GANNINA,Kamma,medium
GANPISETTY,Vysya,high
GANTA,Kamma,medium
GANTAA,Kamma,medium
GANTHOTI,Kamma,medium
GANTTA,Kapu,medium
GANTU,Kamma,medium
GARAMSETTY,Vysya,high
GARAPATI,Kamma,medium
GARAPATY,Kamma,high
GAREMEDI,Kamma,medium
GARIKAMUKKU,Kamma,medium
GARIKAPATI,Kamma,high
GARIKIPATI,Kamma,high
GARIKIPATY,Kamma,medium
GARIMALLA,Kamma,medium
GARIMELLA,Brahmin,high
GARIMID,Kamma,medium
GARIMIDI,Kamma,medium
GARISE,Kamma,medium
GARLAPATI,Kamma,medium
GARLAPUTI,Kamma,medium
GARNENI,Kamma,low
GARNEPUDI,Kamma,high
GARNETI,Kapu,medium
GARUGU,Kapu,medium
GARUKAPATI,Kamma,high
GASA,Kamma,medium
GATIPATI,Kamma,medium
GATTAMANENI,Kamma,medium
GATTEM,Kapu,medium
GATTI BOYINA,Other,medium
GATTIGUNDLA,SC,medium
GATTINENI,Kamma,medium
GATTIPATI,Kamma,medium
GATTU,Kamma,medium
GAVINI,Kamma,medium
GAVIRIBOINA,Kapu,medium
GAVIRINEEDI,Kamma,medium
GAVIRNENI,Kamma,low
GAVRINDI,Kamma,medium
GAZULA,Kamma,medium
GEDA,Kapu,medium
GEDAA,Kamma,medium
GEDDAM,Kamma,medium
GELLI,Kapu,medium
GETHAM,Kapu,medium
GETTAM,Kapu,medium
GETTEM,Kapu,medium
GETTINENI,Kamma,low
GETTINI,SC,low
GHADIYARAM,Kamma,medium
GHANTA,Kamma,high
GHANTASALA,Kapu,medium
GHATAMANENI,Kamma,low
GHATTAMANENI,Kamma,high
GIDDALURI,Kamma,medium
GIMPALLI,Kamma,medium
GINDELA,Kamma,medium
GINJALA,Kamma,medium
GINJUPALLI,Kamma,high
GIRISHALA,Kamma,medium
GITTINENI,Kamma,medium
GOALLA,Yadava,medium
GOBBURI,Kamma,medium
GOCHIPATA,Kamma,medium
GOCHIPATHALA,Kamma,medium
GOCHIPATULA,Kamma,medium
GODAPATI,Kamma,medium
GODAVARTHI,Kamma,medium
GODAVARTHY,Brahmin,medium
GODAVARTI,Kamma,medium
GODDATI,Kamma,medium
GODDETI,Kamma,medium
GODE,Kamma,medium
GODITHI,Kapu,medium
GODUGULA,Kamma,medium
GODUGULURI,Kapu,medium
GOGADA,Kamma,medium
GOGINA,Kamma,medium
GOGINEDI,Kamma,medium
GOGINENI,Kamma,high
GOGINNI,Kamma,medium
GOGIREDDY,Reddy,high
GOGISETTI,Vysya,high
GOGU,SC,medium
GOGULA,Kapu,medium
GOGULAMUDI,Kamma,medium
GOGULAPATI,Kamma,medium
GOGUSETTI,Vysya,high
GOKANAKONDA,Kamma,medium
GOKANAPUDI,Kamma,medium
GOKARAJU,Kamma,high
GOKAVARAPU,Kapu,medium
GOKAVARPU,Kamma,medium
GOKINAPUDI,Kamma,medium
GOLAKOTI,Kapu,medium
GOLAMARU,Kamma,medium
GOLI,Kapu,medium
GOLINA,Kamma,medium
GOLLA,Yadava,high
GOLLAMUDI,Kamma,medium
GOLLAPALLI,Kamma,high
GOLLAPUDI,Kamma,high
GOLLAVELLI,Kapu,medium
GOLLERU,Kamma,medium
GOLUGURI,Kapu,medium
GOLUSU,Kamma,medium
GONAMANDA,Kapu,medium
GONASANI,Kamma,medium
GONDELA,SC,medium
GONDI,ST,medium
GONEGARA,Kamma,medium
GONEPUDI,Kamma,medium
GONGAL,Reddy,high
GONIGI,Kamma,medium
GONISAPUDI,Kamma,medium
GONISEPUDI,Kamma,low
GONTLA,Kamma,medium
GONTU,Kapu,medium
GONTUMUKKALA,Kamma,medium
GONTUMUKKULA,Kamma,medium
GONUGUNTA,Kamma,medium
GONUGUNTLA,Kamma,high
GONURU,Kamma,medium
GOOLA,Kamma,high
GOOLLA,Kamma,medium
GOOTLA,Kamma,medium
GOPAVARAPU,Kamma,medium
GOPIDESI,Kamma,medium
GOPINA,Kamma,medium
GOPINEDI,Kamma,medium
GOPINEEDI,Kamma,medium
GOPINIDI,Kamma,medium
GOPIRAJU,Kapu,medium
GOPISETTI,Vysya,high
GOPISETTY,Vysya,high
GOPU,Other,medium
GORAGANTI,Kamma,medium
GORAKONDA,Kamma,medium
GORANPATLA,Kamma,medium
GORANTA,Kamma,medium
GORANTLA,Kamma,medium
GORIJALA,Kamma,high
GORIJANOLU,Kamma,medium
GORIJAVOLU,Kamma,medium
GORINKA,Kapu,medium
GORINTA,Kamma,medium
GORINTLA,Kapu,medium
GORIPARTI,Kamma,high
GORIPATI,Kamma,medium
GORIZALA,Kamma,medium
GORLE,Kamma,medium
GORNTLA,Kamma,medium
GORRE,Kapu,medium
GORRELA,Kamma,medium
GORREMUCHU,Kamma,medium
GORREMUTCHU,Kamma,medium
GORREPATI,Kamma,medium
GORRIPATI,Kamma,medium
GORTHI,Kamma,medium
GORUTLA,Kamma,medium
GOSIPATHA,SC,medium
GOSUPATHALA,Kamma,medium
GOTA,Kamma,medium
GOTHINA,Kamma,medium
GOTIKALA,Christian,medium
GOTTAM,Kapu,medium
GOTTHI,Kamma,medium
GOTTI,Kamma,medium
GOTTIMUKKALA,Kamma,medium
GOTTIPAALA,Kamma,medium
GOTTIPATI,Kamma,high
GOTTUMUKKALA,Kamma,medium
GOURNENI,Kamma,medium
GOUSE,Muslim,high
GOVADA,Kamma,medium
GOVADI,Kamma,medium
GOVINA,Kamma,medium
GOVINDAIAH,SC,medium
GOVINDU,Kapu,medium
GOVINI,Kamma,medium
GOWRABATHUNI,Kamma,medium
GOWRNENI,Kamma,medium
GRANDHI,Brahmin,medium
GUBBALA,SC,medium
GUDANTI,Other,low
GUDAPATI,Kamma,high
GUDAVALLI,Kamma,high
GUDAVELLI,Kamma,medium
GUDDANTI,Kapu,medium
GUDDE,Kamma,medium
GUDDULURU,Kamma,medium
GUDDURU,Kamma,medium
GUDE,Kapu,medium
GUDEE,Kamma,medium
GUDELA,Kamma,medium
GUDELLI,Kamma,medium
GUDI,Kapu,medium
GUDIBANDI,Kapu,medium
GUDIBANDLA,Kamma,medium
GUDIKANDULA,Kamma,high
GUDIMETLA,Kamma,medium
GUDIMUMDALA,Kamma,medium
GUDIPALLI,Kamma,low
GUDIPATI,Kamma,medium
GUDIPIDI,Kamma,medium
GUDIPUDI,Kamma,medium
GUDISA,Kamma,medium
GUDISE,Kapu,medium
GUDIVADA,Kamma,medium
GUDLA,Kapu,medium
GUDUPUDI,Kamma,medium
GUDURI,Kamma,high
GUDURU,Kamma,high
GUGGILAM,Kamma,medium
GUGGULLA,Reddy,high
GUGULOTHU,ST,medium
GUJARLAPUDI,Kamma,medium
GUJJA,Kapu,medium
GUJJALA,Kamma,medium
GUJJALAMUDI,Kamma,medium
GUJJALAPUDI,Kamma,medium
GUJJARALAPUDI,Kamma,low
GUJJARAPU,Kamma,medium
GUJJARLAPOODI,Kamma,medium
GUJJARLAPUDI,Kamma,high
GUJJARLARPUDI,Kamma,medium
GUJJARU,Kapu,medium
GULIPALLI,Kamma,low
GULLA,Kapu,medium
GULLAPALLI,Kamma,high
GULLAPELLI,Kamma,medium
GUMMA,Kapu,high
GUMMADI,Kamma,high
GUMMADIDALA,Kamma,medium
GUMMADILLI,Kamma,medium
GUMMALA,Kamma,medium
GUMMALLA,Kamma,medium
GUNAKALA,Kamma,medium
GUNAM,Kamma,medium
GUNAPANEEDU,Kamma,medium
GUNDA,Kapu,medium
GUNDAALA,Kamma,medium
GUNDAARAPU,Kamma,medium
GUNDALA,Kapu,medium
GUNDALURU,Kamma,medium
GUNDAPALLI,Kamma,medium
GUNDAPANENI,Kamma,medium
GUNDAPPANENI,Kamma,low
GUNDAPU,Kapu,medium
GUNDAPUNEEDI,Kamma,medium
GUNDAPUNENI,Kamma,low
GUNDARAPU,Kamma,medium
GUNDAVARAPU,Kamma,high
GUNDE,Kamma,medium
GUNDIMADA,Kamma,medium
GUNDIMEDA,Kamma,medium
GUNDLAPALLI,Kamma,medium
GUNDREDDY,Reddy,high
GUNDU,Kapu,medium
GUNDUPALLI,Kamma,low
GUNDURU,Kamma,medium
GUNJAPALLI,Kamma,medium
GUNJI,Kapu,medium
GUNNAM,Kapu,medium
GUNTA,Other,medium
GUNTAA,Kamma,medium
GUNTAKA,Kapu,medium
